"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 25, 2022","1,940.55","1,875.00","1,954.05","1,871.00","2.37M","4.16%"
"Mar 24, 2022","1,863.10","1,800.00","1,870.90","1,796.40","770.86K","1.65%"
"Mar 23, 2022","1,832.80","1,845.00","1,855.00","1,812.05","628.56K","-0.19%"
"Mar 22, 2022","1,836.25","1,810.00","1,851.50","1,762.25","990.08K","1.22%"
"Mar 21, 2022","1,814.05","1,882.00","1,895.00","1,809.55","715.15K","-4.38%"
"Mar 17, 2022","1,897.05","1,930.00","1,944.00","1,883.05","1.30M","-0.14%"
"Mar 16, 2022","1,899.80","1,866.00","1,923.75","1,866.00","1.55M","3.67%"
"Mar 15, 2022","1,832.55","1,872.00","1,883.40","1,820.65","965.03K","-0.34%"
"Mar 14, 2022","1,838.80","1,823.00","1,849.80","1,806.30","818.80K","0.99%"
"Mar 11, 2022","1,820.80","1,780.00","1,839.00","1,761.70","1.62M","1.75%"
"Mar 10, 2022","1,789.45","1,800.00","1,824.60","1,753.40","2.79M","4.70%"
"Mar 09, 2022","1,709.10","1,658.00","1,754.85","1,658.00","5.60M","6.90%"
"Mar 08, 2022","1,598.80","1,600.00","1,614.95","1,555.10","1.56M","-1.13%"
"Mar 07, 2022","1,617.00","1,668.00","1,668.00","1,594.15","1.59M","-6.22%"
"Mar 04, 2022","1,724.20","1,720.00","1,742.30","1,634.00","2.92M","-0.33%"
"Mar 03, 2022","1,729.95","1,801.00","1,803.85","1,721.10","1.74M","-4.16%"
"Mar 02, 2022","1,805.05","1,836.00","1,865.00","1,786.85","1.60M","-3.73%"
"Feb 28, 2022","1,874.90","1,870.00","1,894.00","1,840.00","1.59M","-2.26%"
"Feb 25, 2022","1,918.25","1,900.00","1,977.30","1,870.05","1.61M","4.79%"
"Feb 24, 2022","1,830.55","1,975.00","1,988.00","1,800.00","2.40M","-10.24%"
"Feb 23, 2022","2,039.40","2,085.00","2,095.00","2,030.45","720.06K","-1.29%"
"Feb 22, 2022","2,066.05","1,996.00","2,078.80","1,996.00","999.36K","-0.98%"
"Feb 21, 2022","2,086.55","2,085.05","2,096.15","2,025.20","1.96M","-1.42%"
"Feb 18, 2022","2,116.60","2,149.00","2,168.00","2,091.00","951.80K","-1.86%"
"Feb 17, 2022","2,156.65","2,197.95","2,244.00","2,130.00","1.44M","-0.66%"
"Feb 16, 2022","2,170.95","2,195.00","2,223.40","2,152.10","796.34K","-0.90%"
"Feb 15, 2022","2,190.60","2,125.00","2,198.95","2,071.55","1.09M","4.70%"
"Feb 14, 2022","2,092.30","2,170.00","2,228.50","2,082.75","1.29M","-7.62%"
"Feb 11, 2022","2,264.95","2,208.20","2,282.00","2,201.10","1.32M","1.26%"
"Feb 10, 2022","2,236.75","2,250.50","2,282.10","2,195.10","1.18M","-0.76%"
"Feb 09, 2022","2,253.80","2,190.00","2,263.00","2,180.10","1.08M","3.26%"
"Feb 08, 2022","2,182.60","2,165.00","2,235.00","2,155.00","2.28M","0.58%"
"Feb 07, 2022","2,170.10","2,005.00","2,187.05","1,985.00","4.48M","9.91%"
"Feb 04, 2022","1,974.35","1,950.65","2,005.00","1,937.05","946.38K","1.69%"
